0xC000,0xC3FF,Gamma Table Blue
0xC400,0xC7FF,Gamma Table Green
0xC800,0xCBFF,Gamma Table Red
0xCC00,0xCFFF,Reserved
0xD000,0xD0FF,VICKY Master Control Registers
0xD100,0xD1FF,VICKY Bitmap Control Registers
0xD200,0xD2FF,VICKY Tile Control Registers
0xD300,0xD3FF,Reserved
0xD400,0xD4FF,SID Left
0xD500,0xD4FF,SID Right
0xD600,0xD60F,PSG Left
0xD610,0xD61F,PSG Right
0xD620,0xD62F,CODEC
0xD630,0xD63F,UART
0xD640,0xD64F,PS/2 Interface
0xD650,0xD65F,Timers
0xD660,0xD66F,Interrupt Controller
0xD670,0xD67F,DIP Switch
0xD680,0xD68F,IEC Controller
0xD690,0xD69F,Real Time Clock
0xD6A0,0xD6AF,System Control Registers
0xD6B0,0xD7FF,Reserved
0xD800,0xD83F,Text Foreground Color LUT
0xD840,0xD87F,Text Background Color LUT
0xD880,0xD8FF,Reserved
0xD900,0xDAFF,VICKY Sprite Control Registers
0xDB00,0xDBFF,Reserved
0xDC00,0xDCFF,65C22 VIA Control Registers
0xDD00,0xDDFF,SD Card Controller
0xDE00,0xDEFF,Integer Math Coprocessor
0xDF00,0xDFFF,DMA Controller
